layer,real_name,DL,LL
"LOAD_001_옥탑지붕층_DL_8.6_LL_1","옥탑지붕층",8.6,1.0
"LOAD_002_지붕층_DL_8.6_LL_3","지붕층",8.6,3.0
"LOAD_003_일반음식점_DL_4.8_LL_4","일반음식점",4.8,4.0
"LOAD_004_테라스_DL_7.45_LL_3","테라스",7.45,3.0
"LOAD_005_홀_복도_DL_5_LL_5","홀,복도",5.0,5.0
"LOAD_006_근린생활시설(1F)_DL_4.8_LL_5","근린생활시설(1F)",4.8,5.0
"LOAD_007_화장실_DL_13.2_LL_3.5","화장실",13.2,3.5
"LOAD_008_계단실_DL_5.31_LL_5","계단실",5.31,5.0
"LOAD_009_기계실지붕(시공하중)_DL_29_LL_16","기계실지붕(시공하중)",29.0,16.0
"LOAD_010_방재실_DL_4.8_LL_3","방재실",4.8,3.0
